pitch_velocity,batterId,pitcherId,batter_side,pitcher_side,pitch_movement_x,pitch_movement_y,plate_x,plate_y,bat_speed,swing_length,pitch_zone,outs,balls,strikes,bat_score,fld_score,launch_angle,launch_speed
92.6,669289,676440,R,R,-0.31,1.15,0.87,2.08,64.7,7.5,14,2,0,0,1,4,28.0,73.7
72.1,687231,674003,R,L,-0.4,-0.52,0.59,1.94,75.4,8.2,9,1,0,0,1,5,9.0,73.6
91.8,621566,623211,L,R,-1.19,0.26,0.16,1.85,75.4,7.8,8,2,0,1,3,0,-21.0,77.2
94.0,650490,601713,R,R,-0.38,1.81,-0.63,3.2,73.1,7.0,1,0,0,0,0,0,72.0,68.6
93.4,672695,657277,L,R,-1.34,0.12,0.27,3.05,54.2,5.0,2,1,0,2,0,7,28.0,71.5
85.4,521692,572955,R,R,1.11,-0.27,0.75,3.42,70.9,7.7,3,1,1,2,1,1,46.0,75.2
90.8,543760,650671,R,L,0.44,1.38,-0.64,3.21,68.0,7.9,1,0,1,0,5,8,34.0,104.8
92.0,641680,669620,R,L,0.32,1.38,-0.36,2.1,72.3,7.1,7,0,1,0,3,1,7.0,88.2
93.4,669394,621244,R,R,-1.62,0.84,-0.5,2.44,71.8,6.9,4,2,0,2,5,0,-4.0,82.4
96.3,683734,689225,R,R,-0.13,1.51,1.01,2.95,69.4,7.4,12,0,2,2,0,0,61.0,75.9
96.8,608385,680885,L,R,-0.35,0.98,0.69,2.61,63.6,6.9,6,0,3,2,0,0,61.0,73.4
90.6,669065,641927,L,R,-0.79,1.51,0.1,2.37,74.4,5.9,5,2,2,0,4,1,24.0,84.7
80.0,686797,656353,R,L,0.55,0.25,-0.84,1.14,48.7,7.4,13,0,1,1,0,8,-11.0,92.9
83.0,669720,657006,R,L,-0.57,0.26,0.4,1.25,65.4,7.1,14,2,1,2,2,6,-43.0,75.7
92.8,686217,663559,L,L,0.13,1.5,0.02,2.95,67.7,6.8,2,1,1,0,0,0,19.0,100.5
87.4,571970,650633,L,R,-1.4,0.47,-0.92,2.59,76.3,7.0,11,1,0,0,1,2,11.0,90.2
90.8,665804,656457,R,L,0.33,1.13,-0.36,3.38,66.9,5.9,1,0,0,1,10,4,54.0,64.9
97.1,682729,657508,L,R,-0.78,1.2,-0.05,2.91,73.4,6.2,2,1,3,2,5,14,33.0,98.4
89.3,592626,506433,L,R,-0.09,0.3,-0.69,2.89,73.9,8.3,4,1,0,1,2,4,33.0,77.7
94.2,608070,519151,L,R,-0.32,1.42,-0.23,1.99,69.6,7.2,8,0,2,2,3,4,55.0,70.0
91.7,691718,592836,L,R,-0.56,1.44,-0.05,2.54,68.3,6.5,5,1,2,2,6,2,21.0,84.9
79.2,668904,656353,R,L,0.56,0.37,1.08,2.37,67.5,8.5,14,0,1,2,0,8,16.0,69.9
82.8,608324,658648,R,R,0.43,-0.38,0.02,2.13,72.8,7.6,8,1,0,1,5,0,15.0,106.3
84.6,542932,621366,R,L,1.12,0.8,0.72,2.33,66.8,8.6,6,1,0,1,2,6,29.0,88.3
85.8,676113,663554,L,R,0.17,-0.07,0.93,1.9,71.5,7.7,14,0,3,2,5,4,1.0,80.7
85.4,672279,686790,L,R,0.5,-0.42,0.33,1.52,71.0,8.1,9,2,2,2,6,0,-15.0,69.3
95.7,668939,543037,L,R,-0.48,1.47,-0.09,3.23,74.0,6.3,2,1,1,1,0,0,21.0,97.3
83.0,493329,687792,R,L,1.27,0.48,0.92,2.11,73.7,7.8,14,2,0,2,1,0,26.0,87.6
93.3,624424,571945,L,R,-0.35,1.29,0.69,2.79,75.1,6.9,3,0,0,1,3,2,77.0,70.5
93.4,571657,544150,R,R,-0.46,1.46,-0.25,2.21,67.4,6.7,5,0,0,0,1,0,37.0,67.7
94.6,453568,607455,L,L,1.29,0.62,-0.48,2.94,67.2,7.0,4,0,2,0,0,0,78.0,85.4
79.8,669364,680573,L,R,-1.23,0.77,-0.73,2.69,56.4,5.9,1,0,0,0,3,0,8.0,87.9
93.5,677800,592332,L,R,-1.01,1.33,-0.56,2.37,78.2,7.3,4,2,3,1,0,0,42.0,98.3
95.7,700250,676755,L,R,-0.85,1.52,-0.73,3.49,65.9,5.9,1,2,2,2,4,3,27.0,95.4
84.0,543309,640462,R,L,-0.62,-0.22,-0.23,2.33,73.1,7.3,5,1,0,0,0,0,25.0,106.6
93.2,663697,668873,R,R,-0.27,0.96,0.59,2.37,67.9,7.1,6,0,3,2,0,0,58.0,68.0
92.7,663993,672282,L,L,0.67,1.34,-0.01,3.26,72.8,6.9,2,1,0,2,3,1,48.0,78.5
95.6,621035,677955,R,R,-1.14,0.35,-0.34,2.12,68.1,6.3,7,1,1,1,10,3,-22.0,96.9
91.7,681297,573186,L,R,-0.81,0.11,0.21,2.13,78.1,7.3,8,1,1,0,3,1,-3.0,105.8
92.1,593871,683155,L,R,-0.89,1.39,0.07,2.6,69.0,6.4,5,2,0,1,0,0,30.0,96.4
94.9,630105,543339,L,R,-1.18,0.95,-0.92,2.49,68.1,7.2,11,2,1,0,4,1,-1.0,99.3
83.5,665489,675540,R,R,0.48,-0.14,0.75,2.28,65.7,8.0,6,0,2,2,1,2,62.0,74.3
93.6,656811,657376,L,R,0.18,0.67,-0.29,3.62,67.7,6.2,11,2,3,2,1,0,3.0,83.9
94.6,664761,663623,R,R,-0.77,1.48,-0.2,3.26,69.0,6.0,2,1,1,1,2,1,32.0,81.2
84.1,665833,606303,L,R,1.67,-0.15,0.19,1.31,60.9,9.0,14,1,0,1,2,7,-20.0,74.0
94.8,694388,669199,L,R,-0.84,1.49,-0.75,2.64,75.9,8.0,4,1,3,2,0,3,-12.0,88.4
95.0,596103,805673,R,R,-0.89,1.39,0.28,3.26,59.2,5.9,3,2,0,2,6,0,13.0,93.6
96.3,645277,621242,R,R,-0.95,0.89,0.03,1.97,71.2,7.4,8,2,2,0,4,6,-40.0,66.6
88.3,650559,650644,R,R,0.36,0.57,0.51,2.07,74.2,8.2,9,1,2,1,0,0,67.0,83.6
84.8,521692,572955,R,R,1.01,-0.19,0.34,2.38,75.7,7.9,6,1,1,2,1,1,18.0,109.1
89.1,673357,656271,R,L,1.28,0.39,-0.54,2.39,80.1,8.4,4,2,0,0,1,2,67.0,96.6
83.3,672820,668943,R,R,0.1,0.2,-0.89,2.75,60.3,5.4,11,0,0,1,3,2,37.0,60.6
94.2,543877,544150,R,R,-0.36,1.34,0.48,2.24,69.7,7.0,6,0,2,1,2,3,5.0,104.6
88.1,665019,665871,L,R,0.48,0.94,0.58,1.55,69.5,7.9,14,0,1,0,3,0,-33.0,82.5
78.1,643565,605400,L,R,1.49,-0.93,-0.35,2.08,71.0,7.6,7,1,3,2,0,5,-7.0,96.8
100.4,518792,661403,L,R,0.07,1.05,0.46,2.65,74.7,7.7,6,1,0,1,4,3,26.0,84.3
97.5,621566,656731,L,R,-0.61,1.36,-0.08,2.22,79.6,8.0,5,1,0,0,2,0,76.0,86.0
86.5,668904,669622,R,R,0.84,0.19,0.01,3.12,76.8,8.1,2,1,3,2,2,4,30.0,71.7
83.7,571745,676664,R,L,1.52,0.18,0.0,2.63,73.3,7.1,5,2,0,2,2,0,2.0,102.9
84.8,682626,572955,R,R,1.08,-0.41,-0.56,2.34,80.1,8.0,4,0,1,0,6,7,76.0,94.9
88.8,663698,650644,R,R,-0.01,0.74,0.98,2.39,68.3,7.4,14,2,0,0,0,5,54.0,74.2
87.4,676391,690916,R,R,0.33,0.13,0.38,1.62,71.1,7.6,9,1,2,1,1,0,4.0,93.3
95.3,657656,622663,R,R,-0.8,0.84,-0.05,2.52,65.3,6.2,5,0,1,1,0,0,50.0,75.4
85.0,502671,663372,R,R,-0.17,0.43,0.15,1.43,63.5,8.7,14,1,1,1,2,1,10.0,73.4
89.1,672569,543135,L,R,0.3,0.65,-0.05,3.5,67.4,5.9,11,0,0,1,0,3,9.0,77.8
94.0,623993,657376,L,R,-0.84,0.6,-1.07,3.49,61.1,5.4,11,1,3,2,2,1,44.0,69.0
91.5,682868,608334,R,R,-1.31,0.99,0.23,1.93,38.0,7.2,8,1,0,0,4,0,-42.0,35.9
88.6,453568,700241,L,R,0.24,0.65,0.59,3.03,66.6,6.5,3,2,2,2,2,2,78.0,64.6
91.8,666158,622608,L,R,-0.35,0.73,-0.26,2.51,65.3,6.1,5,0,0,0,3,1,21.0,79.9
89.9,669364,701581,L,R,-1.22,0.54,-0.8,1.18,48.7,6.6,13,0,2,2,1,0,22.0,63.8
87.2,642350,676710,R,R,0.41,1.22,0.67,3.47,75.8,8.2,3,0,1,1,0,1,59.0,84.2
79.8,571448,596295,R,L,0.56,0.65,0.34,1.07,71.1,8.8,14,0,1,1,2,1,-5.0,99.8
90.4,602104,543037,R,R,0.44,0.66,0.69,1.82,67.0,7.3,9,2,0,1,0,1,11.0,81.1
87.2,663697,543294,R,R,-1.19,0.61,-0.26,2.18,78.6,7.6,5,0,3,1,0,0,-14.0,95.9
91.5,663837,641302,R,L,0.86,1.15,0.81,2.35,73.6,7.5,6,2,3,2,0,2,-4.0,97.2
89.3,663527,674003,R,L,0.42,1.5,-0.36,2.25,66.6,6.1,4,1,0,0,0,3,30.0,69.4
94.0,668709,677958,L,R,-0.95,1.14,-0.06,3.05,71.1,6.4,2,2,0,0,2,0,51.0,86.2
93.2,668227,593576,R,R,-1.2,1.13,-0.6,2.3,77.5,8.0,4,1,0,1,8,1,21.0,102.9
95.0,657077,665152,L,R,-0.73,1.65,-0.53,4.1,61.5,5.6,11,1,0,2,0,1,44.0,85.6
90.2,621566,664192,L,L,1.3,0.48,0.9,1.72,73.9,7.8,14,0,3,2,1,0,-28.0,88.2
95.9,669127,677958,R,R,-1.13,0.89,-0.19,2.96,75.2,6.9,2,2,2,1,0,0,38.0,96.1
87.7,681146,656240,R,R,-0.83,0.43,-0.57,2.81,66.8,6.4,1,1,2,1,5,5,11.0,74.1
89.9,630105,656427,L,R,-0.33,1.27,-0.17,3.41,64.0,6.1,2,1,0,1,2,1,54.0,82.4
84.1,669065,543859,L,R,0.11,-0.31,-0.49,1.63,75.6,7.5,7,1,0,1,4,1,-14.0,82.6
93.9,666969,519326,R,R,-0.32,1.27,0.63,2.19,70.0,7.6,9,0,1,2,3,7,17.0,78.0
84.7,605137,681810,L,R,1.13,-0.2,-0.04,2.25,70.1,8.4,8,0,1,2,0,11,65.0,78.5
88.4,592669,608331,R,L,1.27,0.33,0.49,1.92,79.2,7.6,9,1,1,0,0,2,-27.0,76.5
93.5,660766,554430,R,R,-0.88,1.28,-0.24,2.37,71.3,7.2,5,2,0,1,0,0,32.0,72.5
86.9,502671,596295,R,L,0.63,1.16,0.44,2.54,79.4,8.3,6,2,0,0,0,0,-43.0,71.3
97.9,671218,700270,R,R,-1.03,1.16,-0.19,2.02,74.6,6.2,5,2,2,2,10,0,-10.0,94.4
96.7,621566,672578,L,R,-0.51,1.49,0.17,3.44,72.1,6.9,2,0,2,2,2,4,48.0,93.1
93.8,683011,666214,R,L,0.66,1.22,-0.14,2.9,70.8,5.8,2,2,2,1,2,0,19.0,78.2
92.1,681481,641793,L,R,-0.64,1.27,0.51,2.24,74.2,7.3,6,0,0,0,1,0,23.0,103.6
92.6,608324,680704,R,R,-1.34,0.26,-1.45,2.33,77.4,7.5,13,2,2,1,5,0,-11.0,94.3
90.6,670770,592791,L,R,-0.64,1.45,-0.55,1.9,71.4,7.0,7,0,2,1,0,1,-18.0,76.9
84.8,669911,502043,L,R,-0.93,0.24,0.37,2.3,75.2,8.1,9,0,2,0,4,5,3.0,99.4
95.7,678662,681676,R,R,-0.39,1.29,0.37,2.19,71.7,7.5,6,2,1,1,6,8,42.0,79.0
76.5,592206,592866,R,R,1.1,0.27,0.71,1.31,66.6,8.5,14,0,1,2,0,6,34.0,85.4
88.8,672640,660896,R,R,0.51,0.64,0.7,2.53,72.9,7.1,6,0,0,0,5,5,-5.0,68.7
85.6,663656,594902,L,R,-1.2,0.62,-0.25,1.39,61.8,8.3,13,1,0,1,0,0,9.0,92.4
96.8,602104,641154,R,R,-0.71,1.07,-0.49,2.59,61.0,6.8,4,2,0,0,2,0,61.0,75.2
94.4,668904,669199,R,R,-0.82,1.49,-0.12,2.3,78.3,8.1,5,0,2,0,1,4,1.0,103.4
89.6,687529,700241,L,R,-0.33,0.65,-0.3,3.13,68.1,6.7,1,1,1,1,0,1,65.0,78.6
94.8,650490,689225,R,R,-0.63,1.88,-0.27,2.25,75.8,7.7,5,1,1,2,0,2,47.0,73.5
84.5,663837,694363,R,L,0.91,0.93,0.33,1.63,74.9,8.3,9,0,1,2,1,0,24.0,92.9
96.1,543760,686799,R,R,-1.22,0.09,0.44,1.69,70.1,7.8,9,1,2,2,3,0,48.0,78.6
86.2,676070,608334,R,R,0.42,0.2,-0.33,1.73,69.0,6.9,7,2,2,1,7,0,3.0,100.4
84.1,606192,605397,R,R,1.44,-0.03,0.48,2.3,76.1,8.1,6,2,0,1,0,0,59.0,80.8
88.8,676113,542881,L,L,0.13,1.4,0.23,3.1,73.7,6.8,2,2,3,0,0,0,53.0,70.8
93.3,695578,663738,L,L,0.76,1.37,0.4,2.94,77.6,7.4,6,2,0,0,0,1,19.0,87.1
88.1,691406,676710,R,R,0.48,0.63,1.0,1.92,79.8,8.6,14,0,1,2,0,0,-52.0,63.9
84.5,666969,672282,R,L,-0.41,-0.16,-0.29,2.77,68.4,6.5,4,1,2,2,2,0,27.0,101.1
95.6,668804,605280,L,R,-1.34,0.4,-0.1,2.19,74.2,7.0,5,1,0,0,4,6,1.0,104.2
85.2,668845,689017,R,R,0.26,0.04,0.04,1.78,70.6,7.3,8,0,1,1,1,0,62.0,68.9
88.8,668845,543339,R,R,-0.05,0.32,-0.26,1.93,74.1,7.3,8,1,0,0,4,11,14.0,82.1
78.8,671056,694738,R,R,1.39,-0.69,0.21,1.64,76.1,6.9,8,2,0,0,1,0,-6.0,107.7
83.0,641343,682847,L,R,0.75,0.63,-0.44,2.59,72.3,7.8,4,1,1,1,1,2,78.0,89.7
91.7,665161,594902,R,R,-1.26,0.76,-0.27,3.31,65.4,5.7,2,2,0,2,4,2,26.0,73.5
93.7,595777,518876,L,R,-1.32,0.54,-0.34,2.21,71.0,7.3,4,2,0,0,4,2,62.0,73.2
95.6,672279,677955,L,R,-1.26,0.39,-0.45,1.91,66.6,6.7,7,0,0,0,5,1,-20.0,84.1
77.5,671056,596295,R,L,-0.54,-0.67,0.04,2.53,73.1,6.9,5,0,2,2,2,1,22.0,92.0
92.3,643289,680704,R,R,-1.0,1.06,0.47,3.57,62.4,6.9,12,2,0,0,5,0,32.0,76.8
89.9,668939,657612,R,L,1.02,-0.79,1.04,1.87,67.3,7.0,14,1,0,2,0,10,-47.0,72.0
94.7,669065,687922,L,L,0.69,1.37,-0.51,2.58,74.1,6.5,4,2,1,2,9,3,-5.0,105.9
82.8,666150,660761,L,L,-0.46,-0.07,-0.6,0.95,61.5,7.5,13,1,2,2,2,0,47.0,66.5
80.4,664023,621383,R,L,-1.09,0.09,0.03,1.68,71.5,8.0,8,0,0,1,0,0,39.0,84.8
94.2,678894,669084,R,L,0.88,1.34,0.62,3.13,69.4,6.8,3,1,1,1,2,1,61.0,79.5
91.8,691718,656457,L,L,1.65,0.63,0.67,1.9,71.9,7.2,9,0,0,1,10,4,19.0,74.2
85.4,665161,682243,R,R,1.19,-0.38,0.92,2.48,68.1,7.6,14,2,0,2,0,2,53.0,75.7
92.7,571745,548389,R,R,-0.59,1.48,-0.32,3.58,47.2,5.3,11,0,2,2,3,3,29.0,65.8
95.7,679032,669713,R,R,-0.57,1.13,-0.24,4.1,59.4,5.6,11,0,2,2,2,10,30.0,80.6
92.3,701538,518876,L,R,-1.04,0.67,-0.38,3.12,72.6,6.7,1,1,0,1,4,2,40.0,80.9
87.2,668715,543294,R,R,-1.17,0.57,0.23,1.4,68.3,7.6,14,1,3,2,0,0,-46.0,76.1
97.0,467793,669622,L,R,-1.52,0.5,-1.04,3.47,69.5,6.7,11,0,3,2,1,4,58.0,82.3
96.5,668939,641154,L,R,-0.57,1.27,-0.39,2.48,71.7,6.3,4,2,0,0,2,0,50.0,86.6
93.6,571970,605397,L,R,-0.38,1.15,0.14,2.17,55.8,5.3,5,0,0,1,0,0,24.0,77.1
93.0,663886,668873,R,R,-0.14,1.33,0.88,3.02,69.9,7.1,12,0,3,2,0,0,52.0,85.3
98.1,664761,640448,R,R,-0.93,1.34,-1.0,3.17,45.5,4.6,11,0,0,0,2,6,16.0,77.3
90.2,680700,692285,L,R,-1.32,0.82,-1.0,2.98,64.0,7.0,11,2,0,0,1,3,-28.0,65.6
86.8,657757,686799,L,R,-0.63,0.07,-0.92,2.47,75.1,8.0,11,1,2,2,0,1,6.0,74.5
96.0,677008,650895,L,R,-0.8,0.7,-0.02,1.96,72.4,6.7,8,2,1,0,8,0,5.0,107.9
83.5,593428,656427,R,R,0.72,-0.02,0.5,1.52,64.9,7.9,9,0,3,2,0,1,9.0,92.6
95.8,678009,680732,L,R,-0.75,1.47,0.04,2.44,70.5,6.5,5,0,2,2,0,0,29.0,87.9
93.7,547180,624522,L,R,0.09,0.87,0.85,2.28,77.1,7.9,14,2,0,1,8,5,-15.0,87.8
89.3,666139,676684,L,R,-1.2,0.45,-0.7,1.6,69.8,6.8,7,2,2,2,1,5,30.0,77.7
86.9,686611,663738,R,L,0.04,0.23,-0.06,1.98,71.3,7.5,5,2,1,2,0,1,-44.0,67.3
81.0,663837,641793,R,R,-0.7,0.24,-0.33,2.67,72.0,7.6,4,1,2,2,2,1,-28.0,89.3
94.4,643376,643338,R,R,-0.8,1.59,-0.68,3.53,77.5,6.7,11,0,0,0,3,3,31.0,75.6
90.5,663837,676979,R,L,-0.62,0.27,-0.66,2.31,72.4,8.0,4,1,2,1,0,0,6.0,106.1
88.5,682985,681402,L,R,0.09,0.18,-0.62,2.41,76.5,7.6,4,1,0,0,0,4,58.0,98.0
86.4,664034,543294,R,R,-1.27,0.76,-0.54,2.23,78.7,8.0,4,0,0,0,0,0,31.0,87.2
93.6,664774,669467,L,R,-0.05,0.51,0.64,3.08,63.3,5.1,3,2,2,2,4,2,18.0,39.1
84.3,666464,700241,R,R,0.8,-0.09,1.12,2.37,75.4,8.1,14,2,0,1,1,6,-9.0,75.6
95.4,650333,621111,L,R,-0.27,1.53,0.36,2.44,61.0,5.4,6,1,0,1,0,0,-25.0,84.4
84.4,664761,657006,R,L,1.04,0.3,1.3,2.21,67.8,7.9,14,0,0,2,2,6,-20.0,75.7
83.0,670032,676428,L,L,-0.96,0.17,-1.07,2.42,59.4,7.6,11,1,1,1,0,0,-6.0,58.8
86.6,687401,669387,R,R,0.24,-0.24,0.18,1.56,76.0,8.5,8,1,1,2,5,2,6.0,95.8
83.0,668939,641927,L,R,-1.11,0.81,0.06,1.84,58.4,7.7,8,0,0,2,0,2,32.0,86.7
89.6,664913,670036,L,R,0.28,0.62,0.99,2.84,68.8,6.3,12,2,1,0,1,5,46.0,83.8
90.6,608336,608379,L,R,-1.16,1.18,0.17,2.94,72.5,6.7,2,0,0,1,4,4,8.0,102.8
88.2,671277,605400,L,R,-1.33,0.8,-0.61,1.75,75.3,7.7,7,1,1,2,1,2,-7.0,82.2
79.7,650333,573009,L,L,-0.7,-0.39,-0.63,0.84,53.4,7.5,13,2,0,2,5,2,6.0,59.1
88.4,678662,502043,R,R,0.14,0.18,0.86,1.48,65.5,6.7,14,0,2,2,0,2,23.0,79.7
94.5,641584,669713,L,R,-0.48,1.05,-0.01,2.88,67.9,5.5,2,1,0,0,0,0,4.0,77.1
96.3,686797,672335,R,L,1.17,0.34,0.37,2.42,65.4,6.2,6,2,0,0,0,9,-3.0,82.9
92.2,678246,608334,R,R,-0.91,1.08,-0.01,2.8,71.0,7.3,2,2,0,1,7,0,48.0,81.9
73.7,623993,643410,L,R,1.26,-1.44,0.86,1.74,70.9,8.0,14,1,3,1,4,1,6.0,31.1
84.8,672640,685126,R,L,1.16,0.33,0.59,2.52,74.0,7.6,6,0,1,1,3,1,-44.0,75.6
93.6,682998,657277,L,R,-1.34,0.29,-0.28,2.82,66.3,5.7,1,0,1,2,0,0,53.0,85.0
79.0,547180,592767,L,L,0.41,-0.23,-0.15,2.16,70.6,7.4,5,0,1,1,2,10,12.0,103.8
90.1,669911,518489,L,R,0.12,0.69,0.08,3.1,76.0,7.5,5,2,0,0,1,2,68.0,80.1
93.9,656541,689017,L,R,-0.48,1.17,0.21,2.99,81.0,7.3,5,2,2,0,0,0,34.0,111.3
77.0,686555,664208,L,R,1.52,-1.07,0.74,2.32,73.2,7.1,6,2,0,2,2,0,14.0,89.6
90.9,570482,664192,R,L,0.14,1.12,-0.76,3.05,70.1,6.7,1,1,1,1,0,0,31.0,69.0
61.2,669364,623168,L,R,-0.38,1.91,-0.45,2.44,66.8,6.5,4,1,0,0,15,5,-13.0,91.7
96.9,608070,434378,L,R,-1.0,1.31,-0.99,3.05,68.7,6.9,11,1,3,2,2,4,57.0,89.7
89.2,669257,683409,R,R,0.26,0.51,0.51,1.51,64.0,7.8,9,2,0,0,8,2,-71.0,52.5
84.9,669257,650633,R,R,0.54,-0.1,1.04,2.52,59.7,7.6,12,0,1,2,1,2,12.0,81.6
84.6,592273,642016,R,R,0.68,0.36,0.02,2.9,74.5,6.8,5,2,2,2,2,4,55.0,74.6
92.3,608324,680704,R,R,-1.05,0.94,-0.98,3.54,66.0,6.0,11,2,2,2,5,0,46.0,69.7
96.8,682626,593423,R,R,-1.08,0.84,0.64,2.8,71.9,7.3,6,2,3,2,2,5,55.0,89.3
83.0,672569,571760,R,L,-0.07,0.35,-0.48,2.12,68.7,7.1,4,1,3,2,3,1,28.0,99.4
86.9,571771,622608,R,R,0.35,0.23,0.2,2.19,73.9,7.7,5,1,0,1,0,1,32.0,101.5
82.6,672761,641793,L,R,-1.1,-0.14,-0.45,1.83,72.6,7.8,7,2,1,0,1,0,17.0,94.0
96.9,691011,680736,R,L,0.28,1.13,0.34,2.81,59.9,5.3,3,1,1,1,2,9,-6.0,94.6
90.9,681146,650893,R,L,0.16,0.77,-0.61,1.78,69.1,7.6,7,0,3,2,5,1,59.0,82.4
80.1,666624,676710,R,R,0.65,0.51,0.69,2.64,64.8,8.8,6,1,0,0,0,0,48.0,55.7
83.7,687263,663436,R,R,0.55,0.17,0.56,2.64,71.9,7.4,6,1,1,1,0,2,-33.0,68.8
77.5,680777,656353,R,L,-0.77,-1.01,0.09,2.1,76.4,8.3,8,1,0,0,0,5,3.0,107.8
94.0,680718,663767,L,R,0.26,0.78,0.52,3.43,69.4,6.5,3,2,0,1,5,6,27.0,52.5
84.9,456781,623465,R,R,0.89,0.24,-1.2,2.79,32.9,4.8,11,0,1,1,3,4,-76.0,50.9
90.7,663743,621244,R,R,-1.48,0.7,-0.39,2.1,66.0,7.3,4,2,2,1,6,0,67.0,75.7
96.3,572138,682120,L,L,0.88,0.99,0.41,3.19,67.0,5.5,3,1,0,0,4,3,22.0,80.8
73.9,650489,656353,R,L,-0.84,-1.14,0.99,2.15,68.9,7.1,14,1,0,1,0,8,43.0,69.5
91.3,677870,663767,R,R,0.17,0.88,0.96,2.2,65.4,7.5,14,0,0,1,6,1,37.0,74.6
94.3,669257,663773,R,R,-1.38,0.47,0.3,2.93,67.7,6.4,3,0,2,2,5,2,-45.0,80.7
95.3,624431,676755,R,R,-0.98,1.55,-0.47,3.65,59.4,5.5,11,0,1,2,4,4,18.0,90.5
93.3,672569,489446,L,R,-1.05,0.99,-0.09,1.79,65.3,6.4,8,1,2,2,2,5,52.0,70.7
87.6,687093,656876,R,R,0.38,-0.16,0.32,1.84,64.6,7.6,9,0,1,0,2,7,-69.0,54.6
97.5,668804,661563,L,R,-0.87,1.44,-0.39,3.21,67.8,6.1,11,2,1,2,4,0,34.0,92.2
74.4,680777,678368,R,R,1.14,-0.7,0.27,1.75,73.9,7.3,8,2,1,1,0,1,17.0,105.3
82.2,679529,647336,R,R,0.62,-0.8,-0.5,3.13,69.8,7.4,1,1,1,2,0,2,-29.0,71.0
95.9,666139,676684,L,R,-0.7,1.26,-0.49,1.85,74.0,7.2,7,2,2,2,1,5,14.0,99.0
101.2,608671,695243,L,R,-1.04,1.2,-0.69,3.18,49.3,6.0,1,2,0,0,2,3,30.0,79.5
92.4,650333,621111,L,R,0.22,1.15,0.43,2.38,68.6,6.3,6,1,0,0,0,0,-31.0,96.2
96.3,676356,669373,R,L,0.39,1.46,0.56,2.48,72.0,7.9,6,2,2,1,0,0,65.0,74.3
86.1,669394,684320,R,R,0.57,0.18,0.82,2.72,72.9,8.0,6,1,2,1,2,1,-47.0,58.8
87.3,666163,669373,L,L,-0.01,0.46,-0.26,1.42,68.7,7.5,8,1,3,2,0,0,-41.0,66.8
87.3,605170,669302,L,R,0.15,-0.19,0.19,2.19,76.8,7.0,5,0,0,0,2,3,-24.0,74.7
97.5,516782,676879,R,L,1.38,0.73,0.57,1.97,75.0,7.6,9,2,1,0,0,2,-38.0,74.3
90.3,668930,682847,L,R,0.46,0.81,0.25,2.65,62.5,6.9,5,1,3,2,1,0,34.0,93.3
89.7,668715,592791,R,R,-1.36,1.28,-0.01,3.06,69.1,6.9,2,0,0,0,0,1,10.0,97.3
87.0,641598,657571,R,L,-0.1,0.29,-0.28,1.71,74.7,7.7,7,1,1,1,5,1,-26.0,75.2
79.6,642180,694297,L,R,1.21,-0.77,0.02,2.38,68.3,6.9,5,1,0,0,1,6,-7.0,77.1
